,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
53,1599580327,11.0.0.52,UpdateGen,24553566,5.428699910073135,109.8190848,0.7410189867093034,20.182253822324373,8871.0,18.791181072,2.586,0.083
55,1599580387,11.0.0.52,UpdateGen,26441176,5.936125824378749,109.8190848,0.7526040375774535,20.98633849690186,9228.0,19.492508272,2.586,0.083
57,1599580447,11.0.0.52,UpdateGen,28471160,6.861794011598079,109.8190848,0.8732739835770078,21.95453524934909,9566.0,20.26581,2.586,0.083
59,1599580507,11.0.0.52,UpdateGen,30571914,6.373672477770327,119.0465536,0.8186352068930969,22.575244364292157,9901.0,20.966400416,2.586,0.083
61,1599580567,11.0.0.52,UpdateGen,32747863,6.396640375378325,135.689617408,0.8800140774760383,23.16029752396166,10248.0,21.718383952,3.154,0.096
63,1599580627,11.0.0.52,UpdateGen,34991279,9.935465348480093,135.689617408,1.0067464549630518,22.367793489115243,10579.0,22.465240112,3.154,0.096
65,1599580687,11.0.0.52,UpdateGen,37225727,8.855208541823316,135.689617408,1.0052015403080616,23.412913582716545,10933.0,23.142287368,3.154,0.096
67,1599580747,11.0.0.52,UpdateGen,39432176,7.73608610862108,135.689617408,1.0441179117911792,25.644142314231424,11312.0,23.704942384,3.154,0.096
69,1599580807,11.0.0.52,UpdateGen,41743356,7.875162516300392,135.689617408,1.0172603260326032,26.593954395439543,11697.0,24.296141768,3.154,0.096
71,1599580867,11.0.0.52,UpdateGen,44295688,7.475889278506841,152.735268864,1.0528110220440883,27.317604709418838,12033.0,25.026176408,4.006,0.109
73,1599580927,11.0.0.52,UpdateGen,46940107,7.667329232924018,152.735268864,1.1026677667766778,28.036348834883484,12369.0,25.758572552,4.006,0.109
75,1599580987,11.0.0.52,UpdateGen,49660102,8.060461276684507,152.735268864,1.1168212927756653,28.858083650190114,12712.0,26.493528632,4.006,0.109
